revenue_year,Cat Rev Year,Price,year,mes,positive_year,negative_year,Followers_year,Reviews_year,Score,Adventure,Singleplayer,Story Rich,Horror,3D,Survival,Choices Matter,Historical,Mystery,Replay Value,Early Access,Female Protagonist,Lovecraftian,Open World,Multiplayer,Co-op,Indie,Atmospheric,Violent,Online Co-Op,Third Person,Sandbox,Soundtrack,Strategy,Difficult,Gore,Great Soundtrack,First-Person,Simulation,RPG,Character Customization,Funny,Casual,Sci-fi,Exploration,Action,Sexual Content,Realistic,Nudity,Fantasy,Anime,Building,Turn-Based,Tactical,Management,Psychological,Visual Novel,Psychological Horror,Moddable,Crafting
915.0417827,1. Menos de 1M,0.99,2016,7,39,22,131,48,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931.1224490000001,1. Menos de 1M,2.99,2016,8,15,4,47,16,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947.2318339,1. Menos de 1M,5.99,2016,9,7,1,77,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
947.2318339,1. Menos de 1M,2.99,2016,9,24,1,61,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019.553073,1. Menos de 1M,1.99,2017,1,41,9,167,27,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1037.58686,1. Menos de 1M,3.99,2017,2,29,6,154,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037.58686,1. Menos de 1M,4.99,2017,2,6,12,34,11,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037.58686,1. Menos de 1M,12.99,2017,2,3,1,73,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079.172142,1. Menos de 1M,4.99,2017,4,10,1,115,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101.609658,1. Menos de 1M,1.99,2017,5,16,17,1036,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101.609658,1. Menos de 1M,1.99,2017,5,9,23,22,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124.229979,1. Menos de 1M,4.99,2017,6,12,1,64,12,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1148.6013990000001,1. Menos de 1M,5.99,2017,7,9,1,25,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148.6013990000001,1. Menos de 1M,2.99,2017,7,17,7,222,20,6,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1174.052895,1. Menos de 1M,1.99,2017,8,26,9,25,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.052895,1. Menos de 1M,3.99,2017,8,13,6,137,15,6,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
1174.052895,1. Menos de 1M,5.99,2017,8,0,0,152,10,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1199.7808619999998,1. Menos de 1M,3.99,2017,9,21,6,2365,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
